,Unnamed: 0,Restaurant_Name,Locality_Restaurant,Ratings_out_of_5_Restaurant,Price_Restaurant,Price Level__Restaurant,Latitude_x__Restaurant,Longitude_x__Restaurant,Nearest_Place_Index_0,Distance_to_Place_0_from__Restaurant,Name_Place,Latitude_place_0_x,Longitude_place_0_x,Rating_Place,Place_ID_Place,amusement_park_Place,art_gallery_Place,campground_Place,car_rental_Place,cemetery_Place,church_Place,establishment_Place,finance_Place,food_Place,gym_Place,health_Place,hindu_temple_Place,lodging_Place,museum_Place,park_Place,place_of_worship_Place,point_of_interest_Place,real_estate_agency_Place,shopping_mall_Place,store__Place,synagogue_Place,tourist_attraction_Place,travel_agency_Place,zoo_Place,Hotel_name,area_Hotel,hotel_star_rating_Hotel,mmt_review_score_Hotel,Price_Hotel,Longitude_Hotel,Latitude_Hotel,Distance_to_Place_form_Hotel,budget,budget_level
4102,4102,Dakkhan Spice,Wakad,4.1,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944,0.001885194,1259,1
4103,4103,Dakkhan Spice,Wakad,4.1,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Courtyard by Marriott Pune Hinjewadi,"Hinjewadi,P4 Rajiv Gandhi",4,4.8,10089,73.747194,18.590991,0.008587319,10289,5
4104,4104,Via Indore,Wakad,3.5,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951,0.009638654,3800,4
4105,4105,Via Indore,Wakad,3.5,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944,0.001885194,1259,1
4106,4106,Via Indore,Wakad,3.5,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Courtyard by Marriott Pune Hinjewadi,"Hinjewadi,P4 Rajiv Gandhi",4,4.8,10089,73.747194,18.590991,0.008587319,10289,5
4107,4107,Christy Restaurant,Akurdi,3.6,275,1,18.6486364,73.764716,95,0.009442181,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951,0.009638654,3875,4
4108,4108,Christy Restaurant,Akurdi,3.6,275,1,18.6486364,73.764716,95,0.009442181,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944,0.001885194,1334,1
4109,4109,Christy Restaurant,Akurdi,3.6,275,1,18.6486364,73.764716,95,0.009442181,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Courtyard by Marriott Pune Hinjewadi,"Hinjewadi,P4 Rajiv Gandhi",4,4.8,10089,73.747194,18.590991,0.008587319,10364,5
4110,4110,The Long Bar,Wakad,3.5,1000,3,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951,0.009638654,4600,4
4111,4111,The Long Bar,Wakad,3.5,1000,3,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944,0.001885194,2059,2
